,Sport,Discipline,Code,excel_country,Count,csv_country,Rank,NOC,Gold,Silver,Bronze,Total,Year,HostCountry
296,Baseball and Softball,Baseball,BSB,Australia,0,AUS,8,AUS,2,0,0,2,1896,Greece
297,Baseball and Softball,Baseball,BSB,Australia,0,AUS,9,AUS,2,0,3,5,1900,France
298,Baseball and Softball,Baseball,BSB,Australia,0,AUS,12,AUS,0,3,1,4,1904,United States
299,Baseball and Softball,Baseball,BSB,Australia,0,AUS,11,AUS,1,2,2,5,1908,United Kingdom
300,Baseball and Softball,Baseball,BSB,Australia,0,AUS,12,AUS,2,2,3,7,1912,Sweden
301,Baseball and Softball,Baseball,BSB,Australia,0,AUS,16,AUS,0,2,1,3,1920,Belgium
302,Baseball and Softball,Baseball,BSB,Australia,0,AUS,11,AUS,3,1,2,6,1924,France
303,Baseball and Softball,Baseball,BSB,Australia,0,AUS,19,AUS,1,2,1,4,1928,Netherlands
304,Baseball and Softball,Baseball,BSB,Australia,0,AUS,11,AUS,3,1,1,5,1932,United States
305,Baseball and Softball,Baseball,BSB,Australia,0,AUS,18,AUS,1,1,3,5,1932,United States
306,Baseball and Softball,Baseball,BSB,Australia,0,AUS,30,AUS,0,0,1,1,1936,Germany
307,Baseball and Softball,Baseball,BSB,Australia,0,AUS,14,AUS,2,6,5,13,1948,United Kingdom
308,Baseball and Softball,Baseball,BSB,Australia,0,AUS,9,AUS,6,2,3,11,1952,Finland
309,Baseball and Softball,Baseball,BSB,Australia,0,AUS,3,AUS,13,8,14,35,1956,Australia
310,Baseball and Softball,Baseball,BSB,Australia,0,AUS,5,AUS,8,8,6,22,1960,Italy
311,Baseball and Softball,Baseball,BSB,Australia,0,AUS,18,AUS,1,1,0,2,1960,Italy
312,Baseball and Softball,Baseball,BSB,Australia,0,AUS,8,AUS,6,2,10,18,1964,Japan
313,Baseball and Softball,Baseball,BSB,Australia,0,AUS,9,AUS,5,7,5,17,1968,Mexico
314,Baseball and Softball,Baseball,BSB,Australia,0,AUS,6,AUS,8,7,2,17,1972,West Germany
315,Baseball and Softball,Baseball,BSB,Australia,0,AUS,32,AUS,0,1,4,5,1976,Canada
316,Baseball and Softball,Baseball,BSB,Australia,0,AUS,15,AUS,2,2,5,9,1980,Soviet Union
317,Baseball and Softball,Baseball,BSB,Australia,0,AUS,14,AUS,4,8,12,24,1984,United States
318,Baseball and Softball,Baseball,BSB,Australia,0,AUS,15,AUS,3,6,5,14,1988,South Korea
319,Baseball and Softball,Baseball,BSB,Australia,0,AUS,10,AUS,7,9,11,27,1992,Spain
320,Baseball and Softball,Baseball,BSB,Australia,0,AUS,7,AUS,9,9,23,41,1996,United States
321,Baseball and Softball,Baseball,BSB,Australia,0,AUS,4,AUS,16,25,17,58,2000,Australia
322,Baseball and Softball,Baseball,BSB,Australia,0,AUS,4,AUS,17,16,17,50,2004,Greece
323,Baseball and Softball,Baseball,BSB,Australia,0,AUS,6,AUS,14,15,17,46,2008,China
324,Baseball and Softball,Baseball,BSB,Australia,0,AUS,8,AUS,8,15,12,35,2012,United Kingdom
325,Baseball and Softball,Baseball,BSB,Australia,0,AUS,10,AUS,8,11,10,29,2016,Brazil
326,Baseball and Softball,Baseball,BSB,Australia,0,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
327,Baseball and Softball,Baseball,BSB,Australia,0,AUS,4,AUS,18,19,16,53,2024,France
328,Baseball and Softball,Softball,SBL,Australia,0,AUS,8,AUS,2,0,0,2,1896,Greece
329,Baseball and Softball,Softball,SBL,Australia,0,AUS,9,AUS,2,0,3,5,1900,France
330,Baseball and Softball,Softball,SBL,Australia,0,AUS,12,AUS,0,3,1,4,1904,United States
331,Baseball and Softball,Softball,SBL,Australia,0,AUS,11,AUS,1,2,2,5,1908,United Kingdom
332,Baseball and Softball,Softball,SBL,Australia,0,AUS,12,AUS,2,2,3,7,1912,Sweden
333,Baseball and Softball,Softball,SBL,Australia,0,AUS,16,AUS,0,2,1,3,1920,Belgium
334,Baseball and Softball,Softball,SBL,Australia,0,AUS,11,AUS,3,1,2,6,1924,France
335,Baseball and Softball,Softball,SBL,Australia,0,AUS,19,AUS,1,2,1,4,1928,Netherlands
336,Baseball and Softball,Softball,SBL,Australia,0,AUS,11,AUS,3,1,1,5,1932,United States
337,Baseball and Softball,Softball,SBL,Australia,0,AUS,18,AUS,1,1,3,5,1932,United States
338,Baseball and Softball,Softball,SBL,Australia,0,AUS,30,AUS,0,0,1,1,1936,Germany
339,Baseball and Softball,Softball,SBL,Australia,0,AUS,14,AUS,2,6,5,13,1948,United Kingdom
340,Baseball and Softball,Softball,SBL,Australia,0,AUS,9,AUS,6,2,3,11,1952,Finland
341,Baseball and Softball,Softball,SBL,Australia,0,AUS,3,AUS,13,8,14,35,1956,Australia
342,Baseball and Softball,Softball,SBL,Australia,0,AUS,5,AUS,8,8,6,22,1960,Italy
343,Baseball and Softball,Softball,SBL,Australia,0,AUS,18,AUS,1,1,0,2,1960,Italy
344,Baseball and Softball,Softball,SBL,Australia,0,AUS,8,AUS,6,2,10,18,1964,Japan
345,Baseball and Softball,Softball,SBL,Australia,0,AUS,9,AUS,5,7,5,17,1968,Mexico
346,Baseball and Softball,Softball,SBL,Australia,0,AUS,6,AUS,8,7,2,17,1972,West Germany
347,Baseball and Softball,Softball,SBL,Australia,0,AUS,32,AUS,0,1,4,5,1976,Canada
348,Baseball and Softball,Softball,SBL,Australia,0,AUS,15,AUS,2,2,5,9,1980,Soviet Union
349,Baseball and Softball,Softball,SBL,Australia,0,AUS,14,AUS,4,8,12,24,1984,United States
350,Baseball and Softball,Softball,SBL,Australia,0,AUS,15,AUS,3,6,5,14,1988,South Korea
351,Baseball and Softball,Softball,SBL,Australia,0,AUS,10,AUS,7,9,11,27,1992,Spain
352,Baseball and Softball,Softball,SBL,Australia,0,AUS,7,AUS,9,9,23,41,1996,United States
353,Baseball and Softball,Softball,SBL,Australia,0,AUS,4,AUS,16,25,17,58,2000,Australia
354,Baseball and Softball,Softball,SBL,Australia,0,AUS,4,AUS,17,16,17,50,2004,Greece
355,Baseball and Softball,Softball,SBL,Australia,0,AUS,6,AUS,14,15,17,46,2008,China
356,Baseball and Softball,Softball,SBL,Australia,0,AUS,8,AUS,8,15,12,35,2012,United Kingdom
357,Baseball and Softball,Softball,SBL,Australia,0,AUS,10,AUS,8,11,10,29,2016,Brazil
358,Baseball and Softball,Softball,SBL,Australia,0,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
359,Baseball and Softball,Softball,SBL,Australia,0,AUS,4,AUS,18,19,16,53,2024,France
360,Basketball,3x3,BK3,Australia,0,AUS,8,AUS,2,0,0,2,1896,Greece
361,Basketball,3x3,BK3,Australia,0,AUS,9,AUS,2,0,3,5,1900,France
362,Basketball,3x3,BK3,Australia,0,AUS,12,AUS,0,3,1,4,1904,United States
363,Basketball,3x3,BK3,Australia,0,AUS,11,AUS,1,2,2,5,1908,United Kingdom
364,Basketball,3x3,BK3,Australia,0,AUS,12,AUS,2,2,3,7,1912,Sweden
365,Basketball,3x3,BK3,Australia,0,AUS,16,AUS,0,2,1,3,1920,Belgium
366,Basketball,3x3,BK3,Australia,0,AUS,11,AUS,3,1,2,6,1924,France
367,Basketball,3x3,BK3,Australia,0,AUS,19,AUS,1,2,1,4,1928,Netherlands
368,Basketball,3x3,BK3,Australia,0,AUS,11,AUS,3,1,1,5,1932,United States
369,Basketball,3x3,BK3,Australia,0,AUS,18,AUS,1,1,3,5,1932,United States
370,Basketball,3x3,BK3,Australia,0,AUS,30,AUS,0,0,1,1,1936,Germany
371,Basketball,3x3,BK3,Australia,0,AUS,14,AUS,2,6,5,13,1948,United Kingdom
372,Basketball,3x3,BK3,Australia,0,AUS,9,AUS,6,2,3,11,1952,Finland
373,Basketball,3x3,BK3,Australia,0,AUS,3,AUS,13,8,14,35,1956,Australia
374,Basketball,3x3,BK3,Australia,0,AUS,5,AUS,8,8,6,22,1960,Italy
375,Basketball,3x3,BK3,Australia,0,AUS,18,AUS,1,1,0,2,1960,Italy
376,Basketball,3x3,BK3,Australia,0,AUS,8,AUS,6,2,10,18,1964,Japan
377,Basketball,3x3,BK3,Australia,0,AUS,9,AUS,5,7,5,17,1968,Mexico
378,Basketball,3x3,BK3,Australia,0,AUS,6,AUS,8,7,2,17,1972,West Germany
379,Basketball,3x3,BK3,Australia,0,AUS,32,AUS,0,1,4,5,1976,Canada
380,Basketball,3x3,BK3,Australia,0,AUS,15,AUS,2,2,5,9,1980,Soviet Union
381,Basketball,3x3,BK3,Australia,0,AUS,14,AUS,4,8,12,24,1984,United States
382,Basketball,3x3,BK3,Australia,0,AUS,15,AUS,3,6,5,14,1988,South Korea
383,Basketball,3x3,BK3,Australia,0,AUS,10,AUS,7,9,11,27,1992,Spain
384,Basketball,3x3,BK3,Australia,0,AUS,7,AUS,9,9,23,41,1996,United States
385,Basketball,3x3,BK3,Australia,0,AUS,4,AUS,16,25,17,58,2000,Australia
386,Basketball,3x3,BK3,Australia,0,AUS,4,AUS,17,16,17,50,2004,Greece
387,Basketball,3x3,BK3,Australia,0,AUS,6,AUS,14,15,17,46,2008,China
388,Basketball,3x3,BK3,Australia,0,AUS,8,AUS,8,15,12,35,2012,United Kingdom
389,Basketball,3x3,BK3,Australia,0,AUS,10,AUS,8,11,10,29,2016,Brazil
390,Basketball,3x3,BK3,Australia,0,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
391,Basketball,3x3,BK3,Australia,0,AUS,4,AUS,18,19,16,53,2024,France
392,Basketball,Basketball,BKB,Australia,1,AUS,8,AUS,2,0,0,2,1896,Greece
393,Basketball,Basketball,BKB,Australia,1,AUS,9,AUS,2,0,3,5,1900,France
394,Basketball,Basketball,BKB,Australia,1,AUS,12,AUS,0,3,1,4,1904,United States
395,Basketball,Basketball,BKB,Australia,1,AUS,11,AUS,1,2,2,5,1908,United Kingdom
396,Basketball,Basketball,BKB,Australia,1,AUS,12,AUS,2,2,3,7,1912,Sweden
397,Basketball,Basketball,BKB,Australia,1,AUS,16,AUS,0,2,1,3,1920,Belgium
398,Basketball,Basketball,BKB,Australia,1,AUS,11,AUS,3,1,2,6,1924,France
399,Basketball,Basketball,BKB,Australia,1,AUS,19,AUS,1,2,1,4,1928,Netherlands
400,Basketball,Basketball,BKB,Australia,1,AUS,11,AUS,3,1,1,5,1932,United States
401,Basketball,Basketball,BKB,Australia,1,AUS,18,AUS,1,1,3,5,1932,United States
402,Basketball,Basketball,BKB,Australia,1,AUS,30,AUS,0,0,1,1,1936,Germany
403,Basketball,Basketball,BKB,Australia,1,AUS,14,AUS,2,6,5,13,1948,United Kingdom
404,Basketball,Basketball,BKB,Australia,1,AUS,9,AUS,6,2,3,11,1952,Finland
405,Basketball,Basketball,BKB,Australia,1,AUS,3,AUS,13,8,14,35,1956,Australia
406,Basketball,Basketball,BKB,Australia,1,AUS,5,AUS,8,8,6,22,1960,Italy
407,Basketball,Basketball,BKB,Australia,1,AUS,18,AUS,1,1,0,2,1960,Italy
408,Basketball,Basketball,BKB,Australia,1,AUS,8,AUS,6,2,10,18,1964,Japan
409,Basketball,Basketball,BKB,Australia,1,AUS,9,AUS,5,7,5,17,1968,Mexico
410,Basketball,Basketball,BKB,Australia,1,AUS,6,AUS,8,7,2,17,1972,West Germany
411,Basketball,Basketball,BKB,Australia,1,AUS,32,AUS,0,1,4,5,1976,Canada
412,Basketball,Basketball,BKB,Australia,1,AUS,15,AUS,2,2,5,9,1980,Soviet Union
413,Basketball,Basketball,BKB,Australia,1,AUS,14,AUS,4,8,12,24,1984,United States
414,Basketball,Basketball,BKB,Australia,1,AUS,15,AUS,3,6,5,14,1988,South Korea
415,Basketball,Basketball,BKB,Australia,1,AUS,10,AUS,7,9,11,27,1992,Spain
416,Basketball,Basketball,BKB,Australia,1,AUS,7,AUS,9,9,23,41,1996,United States
417,Basketball,Basketball,BKB,Australia,1,AUS,4,AUS,16,25,17,58,2000,Australia
418,Basketball,Basketball,BKB,Australia,1,AUS,4,AUS,17,16,17,50,2004,Greece
419,Basketball,Basketball,BKB,Australia,1,AUS,6,AUS,14,15,17,46,2008,China
420,Basketball,Basketball,BKB,Australia,1,AUS,8,AUS,8,15,12,35,2012,United Kingdom
421,Basketball,Basketball,BKB,Australia,1,AUS,10,AUS,8,11,10,29,2016,Brazil
422,Basketball,Basketball,BKB,Australia,1,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
423,Basketball,Basketball,BKB,Australia,1,AUS,4,AUS,18,19,16,53,2024,France
424,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,8,AUS,2,0,0,2,1896,Greece
425,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,9,AUS,2,0,3,5,1900,France
426,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,12,AUS,0,3,1,4,1904,United States
427,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,11,AUS,1,2,2,5,1908,United Kingdom
428,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,12,AUS,2,2,3,7,1912,Sweden
429,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,16,AUS,0,2,1,3,1920,Belgium
430,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,11,AUS,3,1,2,6,1924,France
431,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,19,AUS,1,2,1,4,1928,Netherlands
432,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,11,AUS,3,1,1,5,1932,United States
433,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,18,AUS,1,1,3,5,1932,United States
434,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,30,AUS,0,0,1,1,1936,Germany
435,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,14,AUS,2,6,5,13,1948,United Kingdom
436,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,9,AUS,6,2,3,11,1952,Finland
437,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,3,AUS,13,8,14,35,1956,Australia
438,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,5,AUS,8,8,6,22,1960,Italy
439,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,18,AUS,1,1,0,2,1960,Italy
440,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,8,AUS,6,2,10,18,1964,Japan
441,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,9,AUS,5,7,5,17,1968,Mexico
442,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,6,AUS,8,7,2,17,1972,West Germany
443,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,32,AUS,0,1,4,5,1976,Canada
444,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,15,AUS,2,2,5,9,1980,Soviet Union
445,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,14,AUS,4,8,12,24,1984,United States
446,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,15,AUS,3,6,5,14,1988,South Korea
447,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,10,AUS,7,9,11,27,1992,Spain
448,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,7,AUS,9,9,23,41,1996,United States
449,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,4,AUS,16,25,17,58,2000,Australia
450,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,4,AUS,17,16,17,50,2004,Greece
451,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,6,AUS,14,15,17,46,2008,China
452,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,8,AUS,8,15,12,35,2012,United Kingdom
453,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,10,AUS,8,11,10,29,2016,Brazil
454,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
455,Basque Pelota,Basque Pelota,PEL,Australia,0,AUS,4,AUS,18,19,16,53,2024,France
456,Boxing,Boxing,BOX,Australia,10,AUS,8,AUS,2,0,0,2,1896,Greece
457,Boxing,Boxing,BOX,Australia,10,AUS,9,AUS,2,0,3,5,1900,France
458,Boxing,Boxing,BOX,Australia,10,AUS,12,AUS,0,3,1,4,1904,United States
459,Boxing,Boxing,BOX,Australia,10,AUS,11,AUS,1,2,2,5,1908,United Kingdom
460,Boxing,Boxing,BOX,Australia,10,AUS,12,AUS,2,2,3,7,1912,Sweden
461,Boxing,Boxing,BOX,Australia,10,AUS,16,AUS,0,2,1,3,1920,Belgium
462,Boxing,Boxing,BOX,Australia,10,AUS,11,AUS,3,1,2,6,1924,France
463,Boxing,Boxing,BOX,Australia,10,AUS,19,AUS,1,2,1,4,1928,Netherlands
464,Boxing,Boxing,BOX,Australia,10,AUS,11,AUS,3,1,1,5,1932,United States
465,Boxing,Boxing,BOX,Australia,10,AUS,18,AUS,1,1,3,5,1932,United States
466,Boxing,Boxing,BOX,Australia,10,AUS,30,AUS,0,0,1,1,1936,Germany
467,Boxing,Boxing,BOX,Australia,10,AUS,14,AUS,2,6,5,13,1948,United Kingdom
468,Boxing,Boxing,BOX,Australia,10,AUS,9,AUS,6,2,3,11,1952,Finland
469,Boxing,Boxing,BOX,Australia,10,AUS,3,AUS,13,8,14,35,1956,Australia
470,Boxing,Boxing,BOX,Australia,10,AUS,5,AUS,8,8,6,22,1960,Italy
471,Boxing,Boxing,BOX,Australia,10,AUS,18,AUS,1,1,0,2,1960,Italy
472,Boxing,Boxing,BOX,Australia,10,AUS,8,AUS,6,2,10,18,1964,Japan
473,Boxing,Boxing,BOX,Australia,10,AUS,9,AUS,5,7,5,17,1968,Mexico
474,Boxing,Boxing,BOX,Australia,10,AUS,6,AUS,8,7,2,17,1972,West Germany
475,Boxing,Boxing,BOX,Australia,10,AUS,32,AUS,0,1,4,5,1976,Canada
476,Boxing,Boxing,BOX,Australia,10,AUS,15,AUS,2,2,5,9,1980,Soviet Union
477,Boxing,Boxing,BOX,Australia,10,AUS,14,AUS,4,8,12,24,1984,United States
478,Boxing,Boxing,BOX,Australia,10,AUS,15,AUS,3,6,5,14,1988,South Korea
479,Boxing,Boxing,BOX,Australia,10,AUS,10,AUS,7,9,11,27,1992,Spain
480,Boxing,Boxing,BOX,Australia,10,AUS,7,AUS,9,9,23,41,1996,United States
481,Boxing,Boxing,BOX,Australia,10,AUS,4,AUS,16,25,17,58,2000,Australia
482,Boxing,Boxing,BOX,Australia,10,AUS,4,AUS,17,16,17,50,2004,Greece
483,Boxing,Boxing,BOX,Australia,10,AUS,6,AUS,14,15,17,46,2008,China
484,Boxing,Boxing,BOX,Australia,10,AUS,8,AUS,8,15,12,35,2012,United Kingdom
485,Boxing,Boxing,BOX,Australia,10,AUS,10,AUS,8,11,10,29,2016,Brazil
486,Boxing,Boxing,BOX,Australia,10,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
487,Boxing,Boxing,BOX,Australia,10,AUS,4,AUS,18,19,16,53,2024,France
488,Breaking,Breaking,BKG,Australia,0,AUS,8,AUS,2,0,0,2,1896,Greece
489,Breaking,Breaking,BKG,Australia,0,AUS,9,AUS,2,0,3,5,1900,France
490,Breaking,Breaking,BKG,Australia,0,AUS,12,AUS,0,3,1,4,1904,United States
491,Breaking,Breaking,BKG,Australia,0,AUS,11,AUS,1,2,2,5,1908,United Kingdom
492,Breaking,Breaking,BKG,Australia,0,AUS,12,AUS,2,2,3,7,1912,Sweden
493,Breaking,Breaking,BKG,Australia,0,AUS,16,AUS,0,2,1,3,1920,Belgium
494,Breaking,Breaking,BKG,Australia,0,AUS,11,AUS,3,1,2,6,1924,France
495,Breaking,Breaking,BKG,Australia,0,AUS,19,AUS,1,2,1,4,1928,Netherlands
496,Breaking,Breaking,BKG,Australia,0,AUS,11,AUS,3,1,1,5,1932,United States
497,Breaking,Breaking,BKG,Australia,0,AUS,18,AUS,1,1,3,5,1932,United States
498,Breaking,Breaking,BKG,Australia,0,AUS,30,AUS,0,0,1,1,1936,Germany
499,Breaking,Breaking,BKG,Australia,0,AUS,14,AUS,2,6,5,13,1948,United Kingdom
500,Breaking,Breaking,BKG,Australia,0,AUS,9,AUS,6,2,3,11,1952,Finland
501,Breaking,Breaking,BKG,Australia,0,AUS,3,AUS,13,8,14,35,1956,Australia
502,Breaking,Breaking,BKG,Australia,0,AUS,5,AUS,8,8,6,22,1960,Italy
503,Breaking,Breaking,BKG,Australia,0,AUS,18,AUS,1,1,0,2,1960,Italy
504,Breaking,Breaking,BKG,Australia,0,AUS,8,AUS,6,2,10,18,1964,Japan
505,Breaking,Breaking,BKG,Australia,0,AUS,9,AUS,5,7,5,17,1968,Mexico
506,Breaking,Breaking,BKG,Australia,0,AUS,6,AUS,8,7,2,17,1972,West Germany
507,Breaking,Breaking,BKG,Australia,0,AUS,32,AUS,0,1,4,5,1976,Canada
508,Breaking,Breaking,BKG,Australia,0,AUS,15,AUS,2,2,5,9,1980,Soviet Union
509,Breaking,Breaking,BKG,Australia,0,AUS,14,AUS,4,8,12,24,1984,United States
510,Breaking,Breaking,BKG,Australia,0,AUS,15,AUS,3,6,5,14,1988,South Korea
511,Breaking,Breaking,BKG,Australia,0,AUS,10,AUS,7,9,11,27,1992,Spain
512,Breaking,Breaking,BKG,Australia,0,AUS,7,AUS,9,9,23,41,1996,United States
513,Breaking,Breaking,BKG,Australia,0,AUS,4,AUS,16,25,17,58,2000,Australia
514,Breaking,Breaking,BKG,Australia,0,AUS,4,AUS,17,16,17,50,2004,Greece
515,Breaking,Breaking,BKG,Australia,0,AUS,6,AUS,14,15,17,46,2008,China
516,Breaking,Breaking,BKG,Australia,0,AUS,8,AUS,8,15,12,35,2012,United Kingdom
517,Breaking,Breaking,BKG,Australia,0,AUS,10,AUS,8,11,10,29,2016,Brazil
518,Breaking,Breaking,BKG,Australia,0,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
519,Breaking,Breaking,BKG,Australia,0,AUS,4,AUS,18,19,16,53,2024,France
520,Canoeing,Sprint,CSP,Australia,9,AUS,8,AUS,2,0,0,2,1896,Greece
521,Canoeing,Sprint,CSP,Australia,9,AUS,9,AUS,2,0,3,5,1900,France
522,Canoeing,Sprint,CSP,Australia,9,AUS,12,AUS,0,3,1,4,1904,United States
523,Canoeing,Sprint,CSP,Australia,9,AUS,11,AUS,1,2,2,5,1908,United Kingdom
524,Canoeing,Sprint,CSP,Australia,9,AUS,12,AUS,2,2,3,7,1912,Sweden
525,Canoeing,Sprint,CSP,Australia,9,AUS,16,AUS,0,2,1,3,1920,Belgium
526,Canoeing,Sprint,CSP,Australia,9,AUS,11,AUS,3,1,2,6,1924,France
527,Canoeing,Sprint,CSP,Australia,9,AUS,19,AUS,1,2,1,4,1928,Netherlands
528,Canoeing,Sprint,CSP,Australia,9,AUS,11,AUS,3,1,1,5,1932,United States
529,Canoeing,Sprint,CSP,Australia,9,AUS,18,AUS,1,1,3,5,1932,United States
530,Canoeing,Sprint,CSP,Australia,9,AUS,30,AUS,0,0,1,1,1936,Germany
531,Canoeing,Sprint,CSP,Australia,9,AUS,14,AUS,2,6,5,13,1948,United Kingdom
532,Canoeing,Sprint,CSP,Australia,9,AUS,9,AUS,6,2,3,11,1952,Finland
533,Canoeing,Sprint,CSP,Australia,9,AUS,3,AUS,13,8,14,35,1956,Australia
534,Canoeing,Sprint,CSP,Australia,9,AUS,5,AUS,8,8,6,22,1960,Italy
535,Canoeing,Sprint,CSP,Australia,9,AUS,18,AUS,1,1,0,2,1960,Italy
536,Canoeing,Sprint,CSP,Australia,9,AUS,8,AUS,6,2,10,18,1964,Japan
537,Canoeing,Sprint,CSP,Australia,9,AUS,9,AUS,5,7,5,17,1968,Mexico
538,Canoeing,Sprint,CSP,Australia,9,AUS,6,AUS,8,7,2,17,1972,West Germany
539,Canoeing,Sprint,CSP,Australia,9,AUS,32,AUS,0,1,4,5,1976,Canada
540,Canoeing,Sprint,CSP,Australia,9,AUS,15,AUS,2,2,5,9,1980,Soviet Union
541,Canoeing,Sprint,CSP,Australia,9,AUS,14,AUS,4,8,12,24,1984,United States
542,Canoeing,Sprint,CSP,Australia,9,AUS,15,AUS,3,6,5,14,1988,South Korea
543,Canoeing,Sprint,CSP,Australia,9,AUS,10,AUS,7,9,11,27,1992,Spain
544,Canoeing,Sprint,CSP,Australia,9,AUS,7,AUS,9,9,23,41,1996,United States
545,Canoeing,Sprint,CSP,Australia,9,AUS,4,AUS,16,25,17,58,2000,Australia
546,Canoeing,Sprint,CSP,Australia,9,AUS,4,AUS,17,16,17,50,2004,Greece
547,Canoeing,Sprint,CSP,Australia,9,AUS,6,AUS,14,15,17,46,2008,China
548,Canoeing,Sprint,CSP,Australia,9,AUS,8,AUS,8,15,12,35,2012,United Kingdom
549,Canoeing,Sprint,CSP,Australia,9,AUS,10,AUS,8,11,10,29,2016,Brazil
550,Canoeing,Sprint,CSP,Australia,9,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
551,Canoeing,Sprint,CSP,Australia,9,AUS,4,AUS,18,19,16,53,2024,France
552,Canoeing,Slalom,CSL,Australia,0,AUS,8,AUS,2,0,0,2,1896,Greece
553,Canoeing,Slalom,CSL,Australia,0,AUS,9,AUS,2,0,3,5,1900,France
554,Canoeing,Slalom,CSL,Australia,0,AUS,12,AUS,0,3,1,4,1904,United States
555,Canoeing,Slalom,CSL,Australia,0,AUS,11,AUS,1,2,2,5,1908,United Kingdom
556,Canoeing,Slalom,CSL,Australia,0,AUS,12,AUS,2,2,3,7,1912,Sweden
557,Canoeing,Slalom,CSL,Australia,0,AUS,16,AUS,0,2,1,3,1920,Belgium
558,Canoeing,Slalom,CSL,Australia,0,AUS,11,AUS,3,1,2,6,1924,France
559,Canoeing,Slalom,CSL,Australia,0,AUS,19,AUS,1,2,1,4,1928,Netherlands
560,Canoeing,Slalom,CSL,Australia,0,AUS,11,AUS,3,1,1,5,1932,United States
561,Canoeing,Slalom,CSL,Australia,0,AUS,18,AUS,1,1,3,5,1932,United States
562,Canoeing,Slalom,CSL,Australia,0,AUS,30,AUS,0,0,1,1,1936,Germany
563,Canoeing,Slalom,CSL,Australia,0,AUS,14,AUS,2,6,5,13,1948,United Kingdom
564,Canoeing,Slalom,CSL,Australia,0,AUS,9,AUS,6,2,3,11,1952,Finland
565,Canoeing,Slalom,CSL,Australia,0,AUS,3,AUS,13,8,14,35,1956,Australia
566,Canoeing,Slalom,CSL,Australia,0,AUS,5,AUS,8,8,6,22,1960,Italy
567,Canoeing,Slalom,CSL,Australia,0,AUS,18,AUS,1,1,0,2,1960,Italy
568,Canoeing,Slalom,CSL,Australia,0,AUS,8,AUS,6,2,10,18,1964,Japan
569,Canoeing,Slalom,CSL,Australia,0,AUS,9,AUS,5,7,5,17,1968,Mexico
570,Canoeing,Slalom,CSL,Australia,0,AUS,6,AUS,8,7,2,17,1972,West Germany
571,Canoeing,Slalom,CSL,Australia,0,AUS,32,AUS,0,1,4,5,1976,Canada
572,Canoeing,Slalom,CSL,Australia,0,AUS,15,AUS,2,2,5,9,1980,Soviet Union
573,Canoeing,Slalom,CSL,Australia,0,AUS,14,AUS,4,8,12,24,1984,United States
574,Canoeing,Slalom,CSL,Australia,0,AUS,15,AUS,3,6,5,14,1988,South Korea
575,Canoeing,Slalom,CSL,Australia,0,AUS,10,AUS,7,9,11,27,1992,Spain
576,Canoeing,Slalom,CSL,Australia,0,AUS,7,AUS,9,9,23,41,1996,United States
